state_id,name
"31",Dindigul
"31",Erode
"31",Kanchipuram
"31",Kanyakumari
"31",Karur
"31",Madurai
"31",Nagapattinam
"31",The Nilgiris
"31",Namakkal
"31",Perambalur
"31",Pudukkottai
"31",Ramanathapuram
"31",Salem
"31",Sivagangai
"31",Tiruppur
"31",Tiruchirappalli
"31",Theni
"31",Tirunelveli
"31",Thanjavur
"31",Thoothukudi
"31",Thiruvallur
"31",Thiruvarur
"31",Tiruvannamalai
"31",Vellore
"31",Villupuram
"32",Dhalai
"32",North Tripura
"32",South Tripura
"32",West Tripura
"33",Almora
"33",Bageshwar
"33",Chamoli
"33",Champawat
"33",Dehradun
"33",Haridwar
"33",Nainital
"33",Pauri Garhwal
"33",Pithoragharh
"33",Rudraprayag
"33",Tehri Garhwal
"33",Udham Singh Nagar
"33",Uttarkashi
"34",Agra
"34",Allahabad
"34",Aligarh
"34",Ambedkar Nagar
"34",Auraiya
"34",Azamgarh
"34",Barabanki
"34",Badaun
"34",Bagpat
"34",Bahraich
"34",Bijnor
"34",Ballia
"34",Banda
"34",Balrampur
"34",Bareilly
"34",Basti
"34",Bulandshahr
"34",Chandauli
"34",Chitrakoot
"34",Deoria
"34",Etah
"34",Kanshiram Nagar
"34",Etawah
"34",Firozabad
"34",Farrukhabad
"34",Fatehpur
"34",Faizabad
"34",Gautam Buddha Nagar
"34",Gonda
"34",Ghazipur
"34",Gorkakhpur
"34",Ghaziabad
"34",Hamirpur
"34",Hardoi
"34",Mahamaya Nagar
"34",Jhansi
"34",Jalaun
"34",Jyotiba Phule Nagar
"34",Jaunpur District
"34",Kanpur Dehat
"34",Kannauj
"34",Kanpur Nagar
"34",Kaushambi
"34",Kushinagar
"34",Lalitpur
"34",Lakhimpur Kheri
"34",Lucknow
"34",Mau
"34",Meerut
"34",Maharajganj
"34",Mahoba
"34",Mirzapur
"34",Moradabad
"34",Mainpuri
"34",Mathura
"34",Muzaffarnagar
"34",Pilibhit
"34",Pratapgarh
"34",Rampur
"34",Rae Bareli
"34",Saharanpur
"34",Sitapur
"34",Shahjahanpur
"34",Sant Kabir Nagar
"34",Siddharthnagar
"34",Sonbhadra
"34",Sant Ravidas Nagar
"34",Sultanpur
"34",Shravasti
"34",Unnao
"34",Varanasi
"35",Birbhum
"35",Bankura
"35",Bardhaman
"35",Darjeeling
"35",Dakshin Dinajpur
